Date,"Iron Ore Fines, Odisha Index, India : 0-10mm, Fe 62% 1428","Coal - Richards Bay,South Africa - India - RB2 (5500 NAR)",Pellet_Exw_Raipur,"Mumbai: Scrap Price 80:20 INR/t, 1047","Pig Iron, DAP-Raipur, India : Steel Grade","Sponge Iron, CDRI, DAP Durgapur, India : Mix (70% Lumps, 30% Fines), FeM 78% (+/-1)","Rebar, Exw-Mumbai, India : 12-25mm, IF Route,Fe 500, IS 1786","Sponge Iron, PDRI, Exw-Raipur, India : Lumps,FeM 80%, +/-1","Ingot, Exw-Raipur, India, 3.5 x 4.5 Inch, IS 2830","Billet, DAP-Mumbai, India,100x100mm, IS 2831","Rebar, Exw-Raipur, India : 12-25mm, IF Route,Fe 500, IS 1786",WPI_MS_Bright_Bars,Rebar production IF,"Structure-Angle, Exw-Mumbai, India : 75x75 Angle, IF Route,IS 2062/2011 E-250 Gr A","Structure-Angle, Exw-Durgapur, India : 130x130 Angle, IF Route,IS 2062/2011 E-250 Gr A","Price : Structure-Angle, Exw-Raipur, India : 150x150 Angle, IF Route,IS 2062/2011 E-250 Gr A"
2013-06-02,1781.95741727836,68.9857846827705,8400.0,21650.0,25000.0,19233.3333333333,33700.0,18050.0,27600.0,30150.0,32133.3333333333,97.82,0.244637785596201,34700.0,33700.0,33200.0
2013-06-09,1781.95741727836,68.6231956822711,8300.0,22200.0,25000.0,19216.6666666667,33916.6666666667,18083.3333333333,27650.0,30183.33,32333.3333333333,97.43,0.244637785596201,35000.0,33700.0,33200.0
2013-06-16,1781.95741727836,68.2521681418234,8200.0,22533.3333333333,24800.0,19150.0,33600.0,18016.6666666667,27500.0,30000.0,32166.6666666667,97.05,0.244637785596201,34700.0,33600.0,33200.0
2013-06-23,1748.11566951097,64.5008281783147,7850.0,22883.3333333333,24800.0,18416.6666666667,33350.0,17966.6666666667,27400.0,29466.67,31883.3333333333,96.67,0.244637785596201,34500.0,33400.0,33100.0
2013-06-30,1734.57897040401,64.5031919020971,7800.0,22683.3333333333,24800.0,18250.0,32933.3333333333,18000.0,27550.0,29033.33,31700.0,96.28,0.244637785596201,34500.0,33400.0,32900.0
2013-07-07,1700.73722263662,62.2533743394283,7600.0,22000.0,24800.0,18566.6666666667,32400.0,17760.0,27250.0,28650.0,31300.0,95.76,0.244637785596201,33900.0,32200.0,32400.0
2013-07-14,1700.73722263662,61.5050256770046,7500.0,21700.0,24500.0,18650.0,32033.3333333333,17516.6666666667,26900.0,28416.67,30516.6666666667,95.62,0.244637785596201,33900.0,32200.0,32300.0
2013-07-21,1700.73722263662,62.0704356932534,7500.0,21716.6666666667,24500.0,18416.6666666667,31633.3333333333,17416.6666666667,26700.0,28450.0,30050.0,95.48,0.244637785596201,33800.0,32400.0,31800.0
2013-07-28,1700.73722263662,62.6379520749522,7500.0,21900.0,24000.0,18200.0,32033.3333333333,17466.6666666667,26200.0,28558.33,29916.6666666667,95.34,0.244637785596201,33700.0,32600.0,31500.0
2013-08-04,1700.73722263662,68.0,7500.0,21700.0,23500.0,18058.3333333333,32266.6666666667,17566.6666666667,26800.0,28925.0,29683.3333333333,95.4,0.244637785596201,33800.0,32600.0,31500.0
2013-08-11,1666.89547486924,67.67,7500.0,21600.0,23500.0,18016.6666666667,32316.6666666667,17625.0,26400.0,28810.0,29933.3333333333,95.6,0.244637785596201,33650.0,32200.0,31500.0
2013-08-18,1666.89547486924,68.0,7500.0,21540.0,23500.0,18380.0,32420.0,17470.0,26000.0,29120.0,29620.0,95.8,0.244637785596201,33733.3333333333,32200.0,31500.0
2013-08-25,1666.89547486924,67.0,7500.0,21500.0,23500.0,18360.0,32560.0,17520.0,26650.0,29110.0,29540.0,96.0,0.244637785596201,33840.0,32600.0,31550.0
2013-09-01,1666.89547486924,69.0,7850.0,22125.0,24700.0,20233.3333333333,33966.6666666667,19433.3333333333,28250.0,30700.0,32183.3333333333,96.2,0.244637785596201,34920.0,33650.0,31700.0
2013-09-08,1700.73722263662,69.0,8025.0,22166.6666666667,25000.0,20116.6666666667,34766.6666666667,19333.3333333333,28600.0,31050.0,32258.3333333333,96.4,0.244637785596201,35700.0,34640.0,32300.0
2013-09-15,1717.65809652032,67.33,8350.0,22450.0,25000.0,20266.6666666667,35516.6666666667,20308.3333333333,28500.0,31820.0,32900.0,96.6,0.244637785596201,36250.0,34666.6666666667,32300.0
2013-09-22,1717.65809652032,66.5,8450.0,22500.0,25000.0,20083.3333333333,35516.6666666667,19550.0,28300.0,31516.67,32350.0,96.8,0.244637785596201,36100.0,34200.0,32300.0
2013-09-29,1717.65809652032,68.0,8400.0,22700.0,25000.0,19550.0,35416.6666666667,19416.6666666667,27900.0,31583.33,32075.0,97.0,0.244637785596201,36200.0,34200.0,32300.0
2013-10-06,1717.65809652032,69.0,8400.0,22840.0,25000.0,19216.6666666667,34966.6666666667,19200.0,28200.0,31408.33,31650.0,97.1,0.244637785596201,35980.0,34200.0,32300.0
2013-10-13,1717.65809652032,69.0,8666.67,22500.0,25000.0,19600.0,34366.6666666667,19558.3333333333,28100.0,30816.67,31800.0,97.0,0.244637785596201,35083.3333333333,34200.0,32300.0
2013-10-20,1785.3415920551,73.0,8575.0,22000.0,25000.0,20160.0,33680.0,19640.0,28100.0,30550.0,31720.0,96.9,0.244637785596201,34700.0,34200.0,32300.0
2013-10-27,1785.3415920551,75.67,8625.0,22000.0,25000.0,20200.0,33366.6666666667,19241.6666666667,27300.0,30241.67,31466.6666666667,96.8,0.244637785596201,34620.0,34200.0,32300.0
2013-11-03,1785.3415920551,78.0,8400.0,22000.0,25000.0,20030.0,32880.0,18840.0,27450.0,29860.0,30850.0,96.88,0.244637785596201,34050.0,34200.0,32300.0
2013-11-10,1785.3415920551,78.33,8400.0,22140.0,25000.0,20160.0,33362.5,18940.0,27100.0,30660.0,30850.0,97.06,0.244637785596201,35275.0,33800.0,32000.0
2013-11-17,1785.3415920551,77.0,8150.0,22100.0,24933.3333333333,19733.3333333333,33866.6666666667,18741.6666666667,27400.0,30758.33,30758.3333333333,97.24,0.244637785596201,35600.0,33700.0,32000.0
2013-11-24,1785.3415920551,78.33,7925.0,22366.6666666667,24800.0,19500.0,34216.6666666667,19300.0,28100.0,31458.33,31283.3333333333,97.42,0.244637785596201,36116.6666666667,33733.3333333333,32000.0
2013-12-01,1785.3415920551,78.0,7850.0,22633.3333333333,24800.0,19533.3333333333,34683.3333333333,19500.0,28400.0,31783.33,31633.3333333333,97.6,0.244637785596201,36533.3333333333,34300.0,33400.0
2013-12-08,1853.02508758988,78.0,8025.0,22700.0,24800.0,19166.6666666667,34666.6666666667,19308.3333333333,28150.0,31483.33,31316.6666666667,97.82,0.244637785596201,36533.3333333333,34000.0,33400.0
2013-12-15,1853.02508758988,78.0,8200.0,23216.6666666667,24800.0,19216.6666666667,34800.0,19191.6666666667,28200.0,31616.67,31683.3333333333,98.04,0.244637785596201,36500.0,33900.0,33400.0
2013-12-22,1981.62372910595,79.0,8175.0,23400.0,24900.0,19216.6666666667,34741.6666666667,19000.0,28500.0,31600.0,31866.6666666667,98.26,0.244637785596201,36500.0,33900.0,33400.0
2013-12-29,2110.22237062203,79.0,8300.0,23675.0,25000.0,20208.3333333333,35100.0,19125.0,29100.0,32283.33,32133.3333333333,98.48,0.244637785596201,37016.6666666667,35100.0,34400.0
2014-01-05,2110.22237062203,78.0,8300.0,23900.0,25000.0,20666.6666666667,35833.3333333333,19233.3333333333,29100.0,32640.0,32966.6666666667,98.9,0.244637785596201,37533.3333333333,35100.0,34400.0
2014-01-12,2110.22237062203,75.33,8250.0,24380.0,25500.0,20541.6666666667,35566.6666666667,18950.0,29250.0,32316.67,32916.6666666667,99.1,0.336452,37316.6666666667,35100.0,34400.0
2014-01-19,2110.22237062203,75.5,8100.0,24600.0,25566.6666666667,20666.6666666667,35650.0,19041.6666666667,29700.0,32766.67,33241.6666666667,99.3,0.336452,37566.6666666667,35550.0,35240.0
2014-01-26,2110.22237062203,74.75,8150.0,24633.3333333333,25775.0,21000.0,35950.0,19283.3333333333,29650.0,32850.0,33733.3333333333,99.5,0.336452,37825.0,35800.0,35240.0
2014-02-02,2110.22237062203,72.17,8200.0,25100.0,26000.0,20550.0,35833.3333333333,19333.3333333333,30050.0,32466.67,33750.0,99.86,0.346037,37790.0,36000.0,35240.0
2014-02-09,2110.22237062203,72.67,8200.0,25483.3333333333,26000.0,20483.3333333333,35750.0,19875.0,30300.0,32516.67,34116.6666666667,100.02,0.37,37800.0,36000.0,35240.0
2014-02-16,2110.22237062203,69.0,8200.0,25550.0,26000.0,20300.0,35766.6666666667,20075.0,30000.0,32500.0,34200.0,100.18,0.37,37883.3333333333,36200.0,35240.0
2014-02-23,2110.22237062203,69.0,8200.0,25500.0,26000.0,20116.6666666667,35600.0,19991.6666666667,29900.0,32433.33,33883.3333333333,100.34,0.37,37900.0,36350.0,35200.0
2014-03-02,2110.22237062203,67.5,8150.0,25500.0,25933.3333333333,20116.6666666667,35683.3333333333,19666.6666666667,30050.0,32425.0,33491.6666666667,100.72,0.362995,37916.6666666667,35900.0,35140.0
2014-03-09,2110.22237062203,64.4,8000.0,25500.0,25800.0,20266.6666666667,35633.3333333333,19608.3333333333,29600.0,32408.33,33600.0,100.93,0.345484,38000.0,35900.0,35100.0
2014-03-16,2110.22237062203,64.17,8100.0,25500.0,25700.0,20275.0,35366.6666666667,19300.0,29600.0,32116.67,33266.6666666667,101.15,0.345484,38000.0,35300.0,35100.0
2014-03-23,2110.22237062203,64.0,8100.0,25500.0,25433.3333333333,20470.0,35140.0,19420.0,29700.0,32000.0,33140.0,101.37,0.345484,37750.0,35500.0,35100.0
2014-03-30,2110.22237062203,63.0,8100.0,25300.0,25300.0,20566.6666666667,35000.0,19408.3333333333,29850.0,32033.33,33316.6666666667,101.58,0.345484,37700.0,35700.0,34900.0
2014-04-06,2026.74831557899,61.0,8016.67,25300.0,25266.6666666667,20225.0,35383.3333333333,19591.6666666667,30300.0,32475.0,33816.6666666667,102.14,0.343355,37766.6666666667,35700.0,35060.0
2014-04-13,1985.00790388269,62.0,7850.0,25541.6666666667,25200.0,20683.3333333333,36383.3333333333,20150.0,31100.0,33325.0,34650.0,102.48,0.343,38633.3333333333,36800.0,35350.0
2014-04-20,1985.00790388269,62.67,7975.0,26133.3333333333,25500.0,21300.0,36816.6666666667,20366.6666666667,31400.0,33733.33,35916.6666666667,102.82,0.343,39050.0,37350.0,36300.0
2014-04-27,1985.00790388269,64.0,8025.0,26300.0,25500.0,20625.0,37266.6666666667,20316.6666666667,31200.0,33916.67,36133.3333333333,103.16,0.343,39400.0,36600.0,36516.67
2014-05-04,1985.00790388269,64.0,8000.0,26333.3333333333,25500.0,20566.6666666667,37080.0,20766.6666666667,31700.0,33816.67,36040.0,103.82,0.362484,39400.0,36900.0,36633.33
2014-05-11,1985.00790388269,64.0,7900.0,26400.0,25700.0,20508.3333333333,36700.0,20975.0,31100.0,33408.33,36100.0,104.14,0.377097,39333.3333333333,37100.0,36800.0
2014-05-18,1985.00790388269,65.5,7950.0,26250.0,25800.0,20525.0,36383.3333333333,20808.3333333333,31700.0,33366.67,35791.6666666667,104.46,0.377097,38933.3333333333,37100.0,36633.33
2014-05-25,2154.21664271964,66.0,8866.67,26266.6666666667,26950.0,22833.3333333333,36900.0,21841.6666666667,32350.0,33900.0,36700.0,104.78,0.377097,39233.3333333333,37600.0,37250.0
2014-06-01,2154.21664271964,66.0,9200.0,26300.0,27800.0,22391.6666666667,36783.3333333333,21825.0,32150.0,33466.67,36683.3333333333,105.1,0.371892,39216.6666666667,38200.0,37460.0
2014-06-08,2154.21664271964,65.0,9400.0,25983.3333333333,27650.0,21483.3333333333,36216.6666666667,21083.3333333333,31200.0,33158.33,36266.6666666667,104.84,0.340667,39020.0,37533.3333333333,37140.0
2014-06-15,2154.21664271964,64.2,8987.5,25500.0,27275.0,20283.3333333333,36166.6666666667,19933.3333333333,30000.0,33125.0,35675.0,104.58,0.340667,38850.0,37200.0,36666.67
2014-06-22,2154.21664271964,64.0,8750.0,25200.0,27000.0,20316.6666666667,36033.3333333333,19941.6666666667,30800.0,32933.33,35433.3333333333,104.32,0.340667,38400.0,37100.0,36133.33
2014-06-29,2154.21664271964,64.0,8400.0,25233.3333333333,26933.3333333333,20433.3333333333,35716.6666666667,20008.3333333333,31100.0,32891.67,35650.0,104.06,0.340667,38300.0,37000.0,36300.0
2014-07-06,2154.21664271964,63.67,8500.0,25558.3333333333,26300.0,20566.6666666667,35766.6666666667,19816.6666666667,31000.0,32850.0,35533.3333333333,103.3,0.275118,38500.0,36400.0,36466.67
2014-07-13,2154.21664271964,61.75,8450.0,25400.0,26300.0,20525.0,35333.3333333333,19750.0,31300.0,32116.67,35483.3333333333,102.8,0.264194,38183.3333333333,36400.0,36600.0
2014-07-20,2154.21664271964,62.0,8400.0,25100.0,26220.0,20675.0,34733.3333333333,19516.6666666667,31100.0,31658.33,35300.0,102.3,0.264194,37775.0,36700.0,36840.0
2014-07-27,2154.21664271964,63.0,8550.0,24816.6666666667,26000.0,20533.3333333333,34533.3333333333,19466.6666666667,30250.0,31066.67,34466.6666666667,101.8,0.264194,37300.0,36000.0,36600.0
2014-08-03,2154.21664271964,63.2,8400.0,24033.3333333333,25800.0,21133.3333333333,34500.0,19883.3333333333,30100.0,30933.33,33833.3333333333,101.27,0.29129,37150.0,36200.0,36300.0
2014-08-10,2154.21664271964,62.0,8425.0,24225.0,25600.0,21133.3333333333,34150.0,20108.3333333333,29400.0,30466.67,33433.3333333333,101.23,0.327419,37000.0,36400.0,36166.67
2014-08-17,2154.21664271964,62.0,8450.0,24360.0,25400.0,21080.0,33960.0,20400.0,29500.0,31100.0,33340.0,101.2,0.327419,36825.0,36800.0,35800.0
2014-08-24,2154.21664271964,62.0,8500.0,24850.0,25200.0,21283.3333333333,35166.6666666667,20700.0,30000.0,32033.33,34166.6666666667,101.17,0.327419,37766.6666666667,36500.0,35966.67
2014-08-31,2323.42538155658,62.0,8500.0,24816.6666666667,25200.0,21000.0,35066.6666666667,20316.6666666667,29800.0,32040.0,33883.3333333333,101.13,0.327419,36833.3333333333,36350.0,35850.0
2014-09-07,2408.02975097506,61.0,8575.0,25016.6666666667,24800.0,21183.3333333333,35533.3333333333,19941.6666666667,29600.0,32283.33,33933.3333333333,101.12,0.331333,36800.0,36150.0,35950.0
2014-09-14,2492.63412039353,59.67,8700.0,25420.0,24700.0,21191.6666666667,35566.6666666667,19550.0,29800.0,32316.67,33750.0,101.14,0.331333,36660.0,35950.0,36000.0
2014-09-21,2492.63412039353,59.5,8700.0,25216.6666666667,24300.0,21566.6666666667,35033.3333333333,19550.0,29700.0,31960.0,33683.3333333333,101.16,0.331333,36420.0,36050.0,35950.0
2014-09-28,2493.31095534888,60.0,8700.0,25383.3333333333,24300.0,21341.6666666667,35000.0,19670.0,30000.0,32100.0,33850.0,101.18,0.331333,36500.0,35950.0,35950.0
2014-10-05,2492.63412039353,59.0,8800.0,25400.0,24300.0,21200.0,35175.0,19833.3333333333,30000.0,32050.0,34300.0,100.84,0.322086,36166.6666666667,35950.0,35900.0
2014-10-12,2492.63412039353,58.0,8700.0,24900.0,24100.0,21216.6666666667,34650.0,19941.6666666667,29600.0,31300.0,34316.6666666667,100.48,0.318387,35716.6666666667,36050.0,36250.0
2014-10-19,2492.63412039353,55.5,8700.0,24180.0,24100.0,21500.0,33866.6666666667,19408.3333333333,28700.0,30683.33,33683.3333333333,100.12,0.318387,35300.0,35850.0,35600.0
2014-10-26,2492.63412039353,55.0,8700.0,24000.0,24100.0,21225.0,33625.0,19300.0,28800.0,30525.0,33400.0,99.76,0.318387,34800.0,35850.0,35300.0
2014-11-02,2628.00111146309,56.0,8800.0,23833.3333333333,23900.0,21033.3333333333,33650.0,19383.3333333333,28850.0,30450.0,33350.0,99.13,0.320753,34600.0,35750.0,35150.0
