Date,"Iron Ore Fines, Odisha Index, India : 0-10mm, Fe 62% 1428","Coal - Richards Bay,South Africa - India - RB2 (5500 NAR)",Pellet_Exw_Raipur,"Mumbai: Scrap Price 80:20 INR/t, 1047","Pig Iron, DAP-Raipur, India : Steel Grade","Sponge Iron, CDRI, DAP Durgapur, India : Mix (70% Lumps, 30% Fines), FeM 78% (+/-1)","Rebar, Exw-Mumbai, India : 12-25mm, IF Route,Fe 500, IS 1786","Sponge Iron, PDRI, Exw-Raipur, India : Lumps,FeM 80%, +/-1","Ingot, Exw-Raipur, India, 3.5 x 4.5 Inch, IS 2830","Billet, DAP-Mumbai, India,100x100mm, IS 2831","Rebar, Exw-Raipur, India : 12-25mm, IF Route,Fe 500, IS 1786",WPI_MS_Bright_Bars,Rebar production IF,"Structure-Angle, Exw-Mumbai, India : 75x75 Angle, IF Route,IS 2062/2011 E-250 Gr A","Structure-Angle, Exw-Durgapur, India : 130x130 Angle, IF Route,IS 2062/2011 E-250 Gr A","Price : Structure-Angle, Exw-Raipur, India : 150x150 Angle, IF Route,IS 2062/2011 E-250 Gr A"
2025-04-20,5250.0,75.8,10200.0,33916.6666666667,35925.0,27975.0,49400.0,25691.6666666667,40900.0,43916.6666666667,45850.0,135.34,0.773267,51116.6666666667,48583.3333333333,49700.0
2025-04-27,5300.0,76.3,10000.0,33600.0,35541.6666666667,27683.3333333333,49333.3333333333,25441.6666666667,40591.6666666667,43766.6666666667,45366.6666666667,134.82,0.773267,50933.3333333333,48483.3333333333,49350.0
2025-05-04,5300.0,75.8,9850.0,33366.6666666667,34550.0,26900.0,49416.6666666667,24350.0,40100.0,43083.3333333333,45116.6666666667,134.06,0.791916,50800.0,47883.3333333333,48750.0
2025-05-11,5300.0,74.1,9700.0,33000.0,33841.6666666667,26666.6666666667,49133.3333333333,24316.6666666667,39833.3333333333,42816.6666666667,44600.0,133.82,0.805903,50466.6666666667,47690.0,48483.3333333333
2025-05-18,5100.0,73.5,9700.0,32866.6666666667,33625.0,26183.3333333333,48266.6666666667,24275.0,39591.6666666667,42800.0,44116.6666666667,133.58,0.805903,50300.0,47400.0,48500.0
2025-05-25,5100.0,73.0,9400.0,32733.3333333333,33216.6666666667,25716.6666666667,47933.3333333333,24225.0,39533.3333333333,42700.0,43716.6666666667,133.34,0.805903,50100.0,46983.3333333333,48100.0
2025-06-01,5100.0,72.5,9200.0,32550.0,33083.3333333333,25083.3333333333,47666.6666666667,23775.0,38966.6666666667,41666.6666666667,43400.0,133.1,0.798908,49200.0,46583.3333333333,47533.3333333333
2025-06-08,5050.0,71.2,9100.0,31900.0,33075.0,25258.3333333333,46733.3333333333,23441.6666666667,38591.6666666667,41066.6666666667,42683.3333333333,132.42,0.756933,48766.6666666667,46450.0,47100.0
2025-06-15,5050.0,70.2,9100.0,31333.3333333333,32933.3333333333,25250.0,46133.3333333333,23041.6666666667,37891.6666666667,39983.3333333333,42050.0,131.74,0.756933,48216.6666666667,46266.6666666667,46300.0
2025-06-22,4800.0,68.6,9100.0,30633.3333333333,32725.0,25483.3333333333,45116.6666666667,22650.0,37383.3333333333,39500.0,41366.6666666667,131.06,0.756933,47550.0,45550.0,45750.0
